id,ccode,country,leader,age,tstart,tstop,group,survival_days,status,GDP_trend,GDP_pc,pop_log,polity5,violence
49,145,Bolivia,Banzer Suarez,51,1977,1978,B,2525,1,1.0788744714973029,2.96,6.291004165175531,-7,0
50,145,Bolivia,Garcia Meza Tejada,48,1980,1981,B,382,1,0.9934385892966987,2.907,6.357183470693631,-7,0
51,145,Bolivia,Torrelio Villa,48,1981,1982,B,348,1,0.976722025592159,2.87,6.379776714398192,-7,0
52,145,Bolivia,Juan Morales,58,2017,2018,A,1022,0,1.1187539828316528,5.969,7.083093341175279,7,0
52,145,Bolivia,Juan Morales,59,2018,2019,A,1022,1,1.1095069660001444,6.148,7.093503458193993,7,0
53,150,Paraguay,Chavez,67,1949,1950,B,1699,0,0.96262021411722,2.122,5.004469658905291,-5,0
53,150,Paraguay,Chavez,68,1950,1951,B,1699,0,0.9604571849940087,2.084,5.050977173379634,-5,0
53,150,Paraguay,Chavez,69,1951,1952,B,1699,0,0.9844365272829553,2.1,5.092123110942524,-5,0
53,150,Paraguay,Chavez,70,1952,1953,B,1699,0,0.9715234931181774,2.047,5.119495678063707,-5,0
53,150,Paraguay,Chavez,71,1953,1954,B,1699,1,0.9606547960941988,2.007,5.146377574240159,-5,0
54,150,Paraguay,Stroessner,55,1967,1968,A,7878,0,1.0656615219912569,2.389,5.50406243828558,-8,0
54,150,Paraguay,Stroessner,56,1968,1969,A,7878,0,1.0688991868496984,2.445,5.5300162167046425,-8,0
54,150,Paraguay,Stroessner,57,1969,1970,A,7878,0,1.0707563312799453,2.503,5.55434621999791,-8,0
54,150,Paraguay,Stroessner,58,1970,1971,A,7878,0,1.0883927078106708,2.603,5.58154704177353,-8,0
54,150,Paraguay,Stroessner,59,1971,1972,A,7878,0,1.1005545587995433,2.699,5.6091530630765964,-8,0
54,150,Paraguay,Stroessner,60,1972,1973,A,7878,0,1.1120341799192974,2.811,5.63329563060492,-8,0
54,150,Paraguay,Stroessner,61,1973,1974,A,7878,0,1.1182145318122654,2.921,5.660391210164505,-8,0
54,150,Paraguay,Stroessner,62,1974,1975,A,7878,0,1.1328211568294306,3.067,5.6832770004209685,-8,0
54,150,Paraguay,Stroessner,63,1975,1976,A,7878,0,1.1392809020636836,3.213,5.706837802385207,-8,0
54,150,Paraguay,Stroessner,64,1976,1977,A,7878,0,1.1508395078512677,3.386,5.7298075324803515,-8,0
54,150,Paraguay,Stroessner,65,1977,1978,A,7878,0,1.191063774516171,3.668,5.7537243562967575,-8,0
54,150,Paraguay,Stroessner,66,1978,1979,A,7878,0,1.2208551215010766,3.969,5.7784909807390354,-8,0
54,150,Paraguay,Stroessner,67,1979,1980,A,7878,0,1.222331387620644,4.23,5.8045022386644325,-8,0
54,150,Paraguay,Stroessner,68,1980,1981,A,7878,0,1.2338893100833965,4.557,5.832867329400826,-8,0
54,150,Paraguay,Stroessner,69,1981,1982,A,7878,0,1.2152953054013125,4.815,5.862516918680728,-8,0
54,150,Paraguay,Stroessner,70,1982,1983,A,7878,0,1.1259946325156553,4.783,5.886437309240276,-8,0
54,150,Paraguay,Stroessner,71,1983,1984,A,7878,0,1.0382929229668068,4.642,5.912556612003109,-8,0
54,150,Paraguay,Stroessner,72,1984,1985,A,7878,0,1.0007816910583227,4.609,5.940489623087839,-8,0
54,150,Paraguay,Stroessner,73,1985,1986,A,7878,0,0.9918396992224214,4.643,5.970580485272204,-8,0
54,150,Paraguay,Stroessner,74,1986,1987,A,7878,0,0.9822492763493955,4.615,6.000025299082075,-8,0
54,150,Paraguay,Stroessner,75,1987,1988,A,7878,0,1.0080714408380558,4.696,6.025679966188802,-8,0
54,150,Paraguay,Stroessner,76,1988,1989,A,7878,1,1.0443869855634562,4.847,6.057069686705785,-8,0
55,150,Paraguay,Rodriguez Pedotti,65,1989,1990,B,1654,0,1.0728321230243485,5.023,6.088101119591756,2,0
55,150,Paraguay,Rodriguez Pedotti,66,1990,1991,B,1654,0,1.0919660846205508,5.203,6.113398953886842,2,0
55,150,Paraguay,Rodriguez Pedotti,67,1991,1992,B,1654,0,1.0843175853018372,5.288,6.137366297876829,2,0
55,150,Paraguay,Rodriguez Pedotti,68,1992,1993,B,1654,0,1.0627768687392745,5.326,6.162388058949567,7,0
56,155,Chile,Pinochet,65,1980,1981,A,3468,0,1.1477629569876984,7.968,7.092787325743691,-7,0
56,155,Chile,Pinochet,66,1981,1982,A,3468,0,1.1010999944723896,7.968,7.107151071191302,-7,0
56,155,Chile,Pinochet,67,1982,1983,A,3468,0,0.9916498244867569,7.458,7.114907650198264,-7,0
56,155,Chile,Pinochet,68,1983,1984,A,3468,0,0.9360360124577979,7.153,7.124704484890326,-6,0
56,155,Chile,Pinochet,69,1984,1985,A,3468,0,0.9434357724855249,7.202,7.143026590808212,-6,0
56,155,Chile,Pinochet,70,1985,1986,A,3468,0,0.9626745079339849,7.268,7.156847239409944,-6,0
56,155,Chile,Pinochet,71,1986,1987,A,3468,0,1.0127128937353234,7.504,7.173430210983241,-6,0
56,155,Chile,Pinochet,72,1987,1988,A,3468,0,1.072160721607216,7.845,7.192237738126249,-6,2
56,155,Chile,Pinochet,73,1988,1989,A,3468,0,1.1309910202315265,8.363,7.2080228211184165,-1,0
56,155,Chile,Pinochet,74,1989,1990,A,3468,0,1.1633754124980358,8.884,7.225083285801679,8,0
58,160,Argentina,Peron,56,1951,1952,A,1569,0,0.7708060069063362,5.759,7.438017580740087,-9,0
58,160,Argentina,Peron,57,1952,1953,A,1569,0,0.7755822561357554,5.448,7.448436360012345,-9,0
58,160,Argentina,Peron,58,1953,1954,A,1569,0,0.834103369679049,5.416,7.469001736652691,-9,0
58,160,Argentina,Peron,59,1954,1955,A,1569,1,0.9203905495018161,5.524,7.489594850483851,-9,0
59,160,Argentina,Aramburu,52,1955,1956,B,900,0,1.0011657893807184,5.668,7.511603376838994,5,2
59,160,Argentina,Aramburu,53,1956,1957,B,900,0,1.0479956857810533,5.83,7.5287617817644,5,0
59,160,Argentina,Aramburu,54,1957,1958,B,900,0,1.0657677687728608,5.944,7.547953584911242,5,0
60,160,Argentina,Guido,52,1962,1963,B,562,0,1.0236479810289179,6.216,7.650710676748191,5,0
61,160,Argentina,Ongania,52,1966,1967,B,1441,0,1.0895761885284585,6.926,7.713740399453259,-9,0
61,160,Argentina,Ongania,53,1967,1968,B,1441,0,1.0944622397437478,7.107,7.726940660697431,-9,0
61,160,Argentina,Ongania,54,1968,1969,B,1441,0,1.0997032285140442,7.337,7.742856779508937,-9,0
61,160,Argentina,Ongania,55,1969,1970,B,1441,1,1.1100821854381293,7.672,7.758181384162624,-9,0
62,160,Argentina,Levingston,50,1970,1971,B,277,1,1.1026907832300563,7.901,7.772031614431888,-9,0
