"","ccode","year","coup","pre_coups","time_since_last_coup","coup_dummy"
"526",2,1956,0,0,6,0
"527",20,1956,0,0,6,0
"528",40,1956,0,1,4,1
"529",41,1956,2,1,6,1
"530",42,1956,0,0,6,0
"531",70,1956,0,0,6,0
"532",90,1956,0,2,1,1
"533",91,1956,2,0,6,0
"534",92,1956,0,0,6,0
"535",93,1956,0,0,6,0
"536",94,1956,0,0,6,0
"537",95,1956,0,1,5,1
"538",100,1956,0,1,3,1
"539",101,1956,0,1,4,1
"540",130,1956,1,2,2,1
"541",135,1956,1,1,2,1
"542",140,1956,0,1,1,1
"543",145,1956,0,4,3,1
"544",150,1956,0,2,1,1
"545",155,1956,0,0,6,0
"546",160,1956,1,2,1,1
"547",165,1956,0,0,6,0
"548",200,1956,0,0,6,0
"549",205,1956,0,0,6,0
"550",210,1956,0,0,6,0
"551",211,1956,0,0,6,0
"552",212,1956,0,0,6,0
"553",220,1956,0,0,6,0
"554",221,1956,0,0,6,0
"555",223,1956,0,0,6,0
"556",225,1956,0,0,6,0
"557",230,1956,0,0,6,0
"558",232,1956,0,0,6,0
"559",235,1956,0,0,6,0
"560",260,1956,0,0,6,0
"561",265,1956,0,0,6,0
"562",290,1956,0,0,6,0
"563",305,1956,0,0,6,0
"564",310,1956,0,0,6,0
"565",315,1956,0,0,6,0
"566",325,1956,0,0,6,0
"567",331,1956,0,0,6,0
"568",339,1956,0,0,6,0
"569",345,1956,0,0,6,0
"570",350,1956,0,0,6,0
"571",355,1956,0,0,6,0
"572",360,1956,0,0,6,0
"573",365,1956,0,0,6,0
"574",375,1956,0,0,6,0
"575",380,1956,0,0,6,0
"576",385,1956,0,0,6,0
"577",390,1956,0,0,6,0
"578",395,1956,0,0,6,0
"579",450,1956,0,0,6,0
"580",530,1956,0,0,6,0
"581",560,1956,0,0,6,0
"582",600,1956,0,0,0,0
"583",616,1956,0,0,0,0
"584",620,1956,0,0,5,0
"585",625,1956,0,0,0,0
"586",630,1956,0,1,3,1
"587",640,1956,0,0,6,0
"588",645,1956,0,0,6,0
"589",651,1956,0,2,2,1
"590",652,1956,0,2,2,1
"591",660,1956,0,0,6,0
"592",663,1956,0,0,6,0
"593",666,1956,0,0,6,0
"594",670,1956,0,0,6,0
"595",678,1956,0,1,1,1
"596",698,1956,0,0,6,0
"597",700,1956,0,0,6,0
"598",710,1956,0,0,6,0
"599",712,1956,0,0,6,0
"600",713,1956,0,0,6,0
"601",731,1956,0,0,6,0
"602",732,1956,0,0,6,0
"603",740,1956,0,0,6,0
"604",750,1956,0,0,6,0
"605",760,1956,0,0,6,0
"606",770,1956,0,0,6,0
"607",775,1956,0,0,6,0
"608",780,1956,0,0,6,0
"609",790,1956,0,0,6,0
"610",800,1956,0,1,5,1
"611",811,1956,0,0,3,0
"612",812,1956,0,0,2,0
"613",816,1956,0,0,2,0
"614",817,1956,0,0,2,0
"615",840,1956,0,0,6,0
"616",850,1956,0,0,6,0
"617",900,1956,0,0,6,0
"618",920,1956,0,0,6,0
"619",2,1957,0,0,7,0
"620",20,1957,0,0,7,0
"621",40,1957,1,1,5,1
"622",41,1957,2,2,1,1
"623",42,1957,0,0,7,0
"624",70,1957,0,0,7,0
"625",90,1957,2,2,2,1
"626",91,1957,0,1,1,1
"627",92,1957,0,0,7,0
"628",93,1957,0,0,7,0
"629",94,1957,0,0,7,0
"630",95,1957,0,1,6,1
"631",100,1957,2,1,4,1
"632",101,1957,0,1,5,1
"633",130,1957,0,3,1,1
"634",135,1957,0,2,1,1
"635",140,1957,0,1,2,1
"636",145,1957,0,4,4,1
"637",150,1957,0,2,2,1
"638",155,1957,0,0,7,0
"639",160,1957,0,3,1,1
"640",165,1957,0,0,7,0
"641",200,1957,0,0,7,0
"642",205,1957,0,0,7,0
"643",210,1957,0,0,7,0
"644",211,1957,0,0,7,0
"645",212,1957,0,0,7,0
"646",220,1957,0,0,7,0
"647",221,1957,0,0,7,0
"648",223,1957,0,0,7,0
"649",225,1957,0,0,7,0
"650",230,1957,0,0,7,0
"651",232,1957,0,0,7,0
